feature,importance
Experience_Level=Beginner,0.622807
Experience_Level=Advanced,0.065065
Experience_Level=Intermediate,0.061024
Session_Duration,0.057755
range_of_motion,0.035489
fatigue_slope,0.033117
back_angle_risk,0.026547
knee_valgus_risk,0.025047
Workout_Frequency,0.01683
left_right_asymmetry,0.007773
avg_form_score,0.006443
tempo_consistency,0.005648
Resting_BPM,0.004274
Water_Intake,0.004138
BMI,0.00404
avg_depth_score,0.003555
stability_score,0.002787
Avg_BPM,0.00213
Max_BPM,0.001948
Weight,0.001922
Calories_Burned,0.001902
Age,0.001873
Fat_Percentage,0.001866
rep_count,0.001821
Height,0.001748
Workout_Type=Strength,0.000481
Gender=Female,0.000395
Gender=Male,0.000393
Workout_Type=Yoga,0.000345
Workout_Type=Hiit,0.000343
Workout_Type=Cardio,0.000327
Workout_Type=,6.5e-05
Gender=,5.3e-05
Workout_Type=\Tyoga,2.2e-05
Workout_Type=\Nstrength,1.5e-05
Workout_Type=\Tcardio,1.2e-05
